code,description
P0446,"Système de purge canister, commande de ventilation - panne du circuit"
P0447,"Système de purge canister, commande de ventilation - circuit ouvert"
P0448,"Système de purge canister, commande de ventilation - court-circuit"
P0449,"Système de purge canister, soupape de ventilation - panne du circuit"
P0460,Capteur de pression de purge canister - panne du circuit
P0461,Capteur de pression de purge canister - problème de performance/de limites
P0462,Capteur de pression de purge canister - valeur d'entrée trop basse
P0463,Capteur de pression de purge canister - valeur d'entrée trop haute
P0464,Capteur de pression de purge canister - circuit intermittent
P0465,Système de purge canister - fuite importante détectée
P0466,Système de purge canister - très petite fuite détectée
P0467,Système de purge canister - fuite détectée
P0468,"Système de purge canister, électrovanne de purge canister - circuit trop bas"
P0469,"Système de purge canister, électrovanne de purge canister - circuit trop haut"
P0470,Capteur de pression des gaz d'échappement - panne du circuit
P0471,Capteur de pression des gaz d'échappement - problème de performance/de limites
P0472,Capteur de pression des gaz d'échappement - valeur d'entrée trop basse
P0473,Capteur de pression des gaz d'échappement - valeur d'entrée trop haute
P0474,Capteur de pression des gaz d'échappement - circuit intermittent
P0475,Électrovanne de commande de pression des gaz d'échappement-panne du circuit
P0476,Électrovanne de commande de pression des gaz d'échappement-problème de performance/de limites
P0477,Électrovanne de commande de pression des gaz d'échappement - valeur d'entrée trop basse
P0478,Électrovanne de commande de pression des gaz d'échappement - valeur d'entrée trop haute
P0479,Électrovanne de commande de pression des gaz d'échappement- circuit intermittent
P0480,Motoventilateur de refroidissement 1 - panne du circuit
P0481,Motoventilateur de refroidissement 2 - panne du circuit
P0482,Motoventilateur de refroidissement 3 - panne du circuit
P0483,"Motoventilateur de refroidissement, contrôle de rationalité - panne"
P0484,Motoventilateur de refroidissement - surcharge du circuit
P0485,"Motoventilateur de refroidissement, alimentation/masse - panne du circuit"
P0486,Capteur de position de la valve EGR B - panne du circuit
P0487,"Système EGR, commande de position du papillon - panne du circuit"
P0488,"Système EGR, commande de position du papillon - plage de mesure/performance"
P0489,Système EGR - circuit trop bas
P0490,Système EGR - circuit trop haut
P0491,"Système d'injection d'air secondaire, ligne 1 - panne"
P0492,"Système d'injection d'air secondaire, ligne 2 - panne"
P0493,Vitesse motoventilateur de refroidissement moteur - excessive
P0494,Vitesse motoventilateur de refroidissement moteur - basse
P0495,Vitesse motoventilateur de refroidissement moteur - haute
P0496,Système de purge canister - flux de purge élevé
P0497,Système de purge canister - flux de purge faible
P0498,"Système de purge canister, commande de ventilation - circuit trop bas"
P0499,"Système de purge canister, commande de ventilation - circuit trop haut"
P0500,Capteur de vitesse du véhicule - panne du circuit
P0501,Capteur de vitesse du véhicule - problème de performance/de limites
P0502,Capteur de vitesse du véhicule - valeur d'entrée trop basse
P0503,Capteur de vitesse du véhicule - valeur d'entrée intermittente/irrégulière/trop haute
P0504,Contacteur de freinage - corrélation A/B
P0505,Commande du ralenti - panne
P0506,Commande du ralenti - régime plus lent que prévu
P0507,Commande du ralenti - régime plus rapide que prévu
P0508,Commande d'air au ralenti - circuit trop bas
P0509,Commande d'air au ralenti - circuit trop haut
P0510,Contacteur de position fermée de papillon - panne du circuit
P0511,Commande d'air au ralenti - panne du circuit
P0512,Circuit de commande du démarreur - panne
P0513,Clé de l'antidémarrage incorrecte
P0514,Sonde de température batterie - plage de mesure/performance du circuit
P0515,Sonde de température batterie - panne du circuit
P0516,Sonde de température batterie - circuit trop bas
P0517,Sonde de température batterie - circuit trop haut
P0518,Commande d'air au ralenti - circuit intermittent
P0519,Commande d'air au ralenti - performance circuit
P0520,Capteur de pression/pressostat d'huile moteur - panne du circuit
P0521,Capteur de pression/pressostat d'huile moteur - problème de performance/de limites
P0522,Capteur de pression/pressostat d'huile moteur - basse tension
P0523,Capteur de pression/pressostat d'huile moteur - haute tension
P0524,Pression d'huile moteur trop basse
P0525,"Régulateur de vitesse, commande d'actuateur - plage de mesure/performance du circuit"
P0526,Capteur de vitesse du motoventilateur de refroidissement moteur- panne du circuit
P0527,Capteur de vitesse du motoventilateur de refroidissement moteur - plage de mesure/performance du circuit
P0528,Capteur de vitesse du motoventilateur de refroidissement moteur - aucun signal
P0529,Capteur de vitesse du motoventilateur de refroidissement moteur - circuit intermittent
P0530,Capteur de pression du réfrigérant de la climatisation - panne du circuit
P0531,Capteur de pression du réfrigérant de la climatisation - problème de performance/de limites
P0532,Capteur de pression du réfrigérant de la climatisation - valeur d'entrée trop basse
P0533,Capteur de pression du réfrigérant de la climatisation - valeur d'entrée trop haute
P0534,Perte de charge du réfrigérant de la climatisation
P0535,Sonde de température de l'évaporateur climatisation - panne du circuit
P0536,Sonde de température de l'évaporateur climatisation - plage de mesure/performance du circuit
P0537,Sonde de température de l'évaporateur climatisation - circuit trop bas
P0538,Sonde de température de l'évaporateur climatisation - circuit trop haut
P0539,Sonde de température de l'évaporateur climatisation - circuit intermittent
P0540,Chauffage d'air d'admission A - panne du circuit
P0541,Chauffage d'air d'admission A - circuit trop bas
P0542,Chauffage d'air d'admission A - circuit trop haut
P0543,Chauffage d'air d'admission A - circuit ouvert
P0544,"Sonde de température EGR, ligne 1 - panne du circuit"
P0545,"Sonde de température EGR, ligne 1 - valeur d'entrée trop basse"
P0546,"Sonde de température EGR, ligne 1 - valeur d'entrée trop haute"
P0547,"Sonde de température des gaz d'échappement, ligne 2 capteur 1 - panne du circuit"
P0548,"Sonde de température des gaz d'échappement, ligne 2 capteur 1 - circuit trop bas"
P0549,"Sonde de température des gaz d'échappement, ligne 2 capteur 1 - circuit trop haut"
P0550,Capteur/pressostat de direction assistée - panne du circuit
P0551,Capteur/pressostat de direction assistée - problème de performance/de limites
P0552,Capteur/pressostat de direction assistée - valeur d'entrée trop basse
P0553,Capteur/pressostat de direction assistée - valeur d'entrée trop haute
P0554,Capteur/pressostat de direction assistée - circuit intermittent
P0555,Capteur de pression du servofrein - panne du circuit
P0556,Capteur de pression du servofrein - plage de mesure/performance du circuit
P0557,Capteur de pression du servofrein - signal d'entrée du circuit trop bas
P0558,Capteur de pression du servofrein - signal d'entrée du circuit trop haut
P0559,Capteur de pression du servofrein - circuit intermittent
P0560,Tension du système - panne
P0561,Tension du système - instable
P0562,Tension du système - basse
P0563,Tension du système - haute
P0564,"Régulateur de vitesse, signal d'entrée A du contacteur multifonction - panne du circuit"
P0565,"Commutateur principal du régulateur de vitesse, signal de marche (ON) - panne"
P0566,"Commutateur principal du régulateur de vitesse, signal d'arrêt (OFF) - panne"
P0567,Sélecteur de reprise du régulateur de vitesse - panne
P0568,"Commutateur principal du régulateur de vitesse, signal SET - panne"
P0569,"Sélecteur du régulateur de vitesse, signal COAST - panne"
P0570,"Régulateur de vitesse, signal du capteur de position de la pédale - panne"
P0571,Contacteur de régulateur de vitesse/de freinage A - panne du circuit
P0572,Contacteur de régulateur de vitesse/de freinage A - circuit trop bas
P0573,Contacteur de régulateur de vitesse/de freinage A - circuit trop haut
P0574,Régulateur de vitesse - vitesse trop haute
P0575,Régulateur de vitesse - panne du circuit d'entrée
P0576,Régulateur de vitesse - circuit d'entrée trop faible
P0577,Régulateur de vitesse - circuit d'entrée trop fort
P0578,"Régulateur de vitesse, signal d'entrée A du contacteur multifonction - circuit bloqué"
P0579,"Régulateur de vitesse, signal d'entrée A du contacteur multifonction - plage de mesure/performance du circuit"
P0580,"Régulateur de vitesse, signal d'entrée A du contacteur multifonction - circuit trop bas"
P0581,"Régulateur de vitesse, signal d'entrée A du contacteur multifonction - circuit trop haut"
P0582,"Régulateur de vitesse, commande par dépression - circuit ouvert"
P0583,"Régulateur de vitesse, commande par dépression - circuit trop bas"
P0584,"Régulateur de vitesse, commande par dépression - circuit trop haut"
P0585,"Régulateur de vitesse, signal d'entrée A/B du contacteur multifonction - corrélation"
P0586,"Régulateur de vitesse, commande de ventilation - circuit ouvert"
P0587,"Régulateur de vitesse, commande de ventilation - circuit trop bas"
P0588,"Régulateur de vitesse, commande de ventilation - circuit trop haut"
P0589,"Régulateur de vitesse, signal d'entrée B du contacteur multifonction - panne du circuit"
P0590,"Régulateur de vitesse, signal d'entrée B du contacteur multifonction - circuit bloqué"
P0591,"Régulateur de vitesse, signal d'entrée B du contacteur multifonction - plage de mesure/performance du circuit"
P0592,"Régulateur de vitesse, signal d'entrée B du contacteur multifonction - circuit trop bas"
P0593,"Régulateur de vitesse, signal d'entrée B du contacteur multifonction - circuit trop haut"
P0594,"Régulateur de vitesse, commande d'actuateur - circuit ouvert"
P0595,"Régulateur de vitesse, commande d'actuateur - circuit trop bas"
P0596,"Régulateur de vitesse, commande d'actuateur - circuit trop haut"
P0597,Dispositif de commande du chauffage à thermostat - circuit ouvert
P0598,Dispositif de commande du chauffage à thermostat - circuit trop bas
P0599,Dispositif de commande du chauffage à thermostat - circuit trop haut
P0600,Bus de données CAN - panne
P0601,Calculateur de gestion moteur - erreur du total de contrôle de mémoire
P0602,Calculateur de gestion moteur - erreur de programmation
P0603,Calculateur de gestion moteur - erreur KAM
P0604,Calculateur de gestion moteur - erreur RAM
P0605,Calculateur de gestion moteur - erreur ROM
P0606,Calculateur de gestion moteur/calculateur combiné moteur-transmission
P0607,Calculateur/boîtier électronique - problème de performance - panne de processeur
P0608,"Calculateur de gestion moteur, signal de sortie du capteur de vitesse du véhicule A - panne"
P0609,"Calculateur de gestion moteur, signal de sortie du capteur de vitesse du véhicule B - panne"
P0610,Calculateur/boîtier électronique - erreur options véhicule
P0611,Boîtier électronique d'injecteur de carburant - problème de performance
P0612,Boîtier électronique d'injecteur carburant - circuit du relais de commande
P0613,Calculateur de transmission - erreur de processeur
P0614,Calculateur de gestion moteur/calculateur de transmission - désaccord
P0615,Relais du démarreur - panne du circuit de gestion moteur
P0616,Relais du démarreur - circuit trop bas de gestion moteur
P0617,Relais du démarreur - circuit trop haut calculateur de gestion moteur
P0618,Boîtier électronique carburant alternatif - erreur KAM
P0619,Boîtier électronique carburant alternatif - erreur RAM/ROM
P0620,"Alternateur, commande - panne du circuit"
P0621,Alternateur - lampe témoin de charge L - panne du circuit
P0622,Alternateur - lampe témoin de charge F - panne du circuit
P0623,Lampe témoin de charge - panne du circuit
P0624,Lampe témoin trappe du réservoir de carburant - panne du circuit
P0625,Borne champ du générateur - circuit trop bas
P0626,Borne champ du générateur - circuit trop haut
P0627,Commande de pompe à carburant A - circuit ouvert
P0628,Commande de pompe à carburant A - circuit trop bas
P0629,Commande de pompe à carburant A - circuit trop haut
P0630,VIN non programmé ou désaccord d'identification - calculateur de gestion moteur/calculateur transmission/gestion moteur
P0631,VIN non programmé ou désaccord d'identification - calculateur de transmission
P0632,Compteur kilométrique non programmé - calculateur de gestion moteur/calculateur transmission/gestion moteur
P0633,Clé de l'antidémarrage non programmée - calculateur de gestion moteur/calculateur transmission/gestion moteur
P0634,Calculateur transmission/gestion moteur/calculateur de gestion moteur/calculateur de transmission - température interne trop haute
P0635,Commande direction assistée - panne du circuit
P0636,Commande direction assistée - circuit trop bas
P0637,Commande direction assistée - circuit trop haut
P0638,"Commande d'actuateur de papillon, ligne 1 - problème de performance/de limites"
P0639,"Commande d'actuateur de papillon, ligne 2 - plage mesure/performance"
P0640,Commande de chauffage d'air d'admission - panne du circuit
P0641,Tension de référence du capteur A - circuit ouvert
P0642,"Calculateur de gestion moteur, anti-c1iquetis - défectueux"
P0643,Tension de référence du capteur A - circuit trop haut
P0644,"Affichage conducteur, communication de séries de données - panne du circuit"
P0645,Relais d'embrayage du compresseur de climatisation
P0646,Relais embrayage du compresseur de climatisation - circuit trop bas
P0647,Relais embrayage du compresseur de climatisation - circuit trop haut
P0648,Lampe témoin antidémarrage - panne du circuit
P0649,Lampe témoin régulateur de vitesse - circuit moteur
P0650,Lampe témoin d'affichage des défauts - panne du circuit
P0651,Tension de référence du capteur B - circuit ouvert
P0652,Tension de référence du capteur B - circuit trop bas
P0653,Tension de référence du capteur B - circuit trop haut
P0654,"Régime moteur, sortie - panne du circuit"
P0655,Signal de sortie du témoin de surchauffe du moteur - panne du circuit
P0656,Signal de sortie de niveau de carburant - panne du circuit
P0657,Tension d'alimentation d'actuateur - circuit ouvert
P0658,Tension d'alimentation d'actuateur - circuit trop bas
P0659,Tension d'alimentation d'actuateur - circuit trop haut
P0660,"Électrovanne d'admission d'air dans le collecteur, ligne 1 - circuit ouvert"
P0661,"Électrovanne d'admission d'air dans le collecteur, ligne 1 - circuit trop bas"
P0662,"Électrovanne d'admission d'air dans le collecteur, ligne 1 - circuit trop haut"
P0663,"Électrovanne d'admission d'air dans le collecteur, ligne 2 - circuit ouvert"
P0664,"Électrovanne d'admission d'air dans le collecteur, ligne 2 - circuit trop bas"
P0665,"Électrovanne d'admission d'air dans le collecteur, ligne 2 - circuit trop haut"
P0666,Sonde de température interne calculateur combiné moteur-transmission/calculateur de gestion moteur/calculateur de transmission - panne du circuit
P0667,Sonde de température interne calculateur combiné moteur-transmission/calculateur de gestion moteur/calculateur de transmission - plage de mesure/performance
P0668,Sonde de température interne calculateur combiné moteur-transmission/calculateur de gestion moteur/calculateur de transmission - circuit trop bas
P0669,Sonde de température interne calculateur combiné moteur-transmission/calculateur de gestion moteur/calculateur de transmission - circuit trop haut
P0670,Boîtier électronique des bougies de préchauffage - panne du circuit
P0671,"Bougies de préchauffage, cylindre 1 - panne du circuit"
P0672,"Bougies de préchauffage, cylindre 2 - panne du circuit"
P0673,"Bougies de préchauffage, cylindre 3 - panne du circuit"
P0674,"Bougies de préchauffage, cylindre 4 - panne du circuit"
P0675,"Bougies de préchauffage, cylindre 5 - panne du circuit"
P0676,"Bougies de préchauffage, cylindre 6 - panne du circuit"
P0677,"Bougies de préchauffage, cylindre 7 - panne du circuit"
P0678,"Bougies de préchauffage, cylindre 8 - panne du circuit"
P0679,"Bougies de préchauffage, cylindre 9 - panne du circuit"
P0680,"Bougies de préchauffage, cylindre 10 - panne du circuit"
P0681,"Bougies de préchauffage, cylindre 11 - panne du circuit"
P0682,"Bougies de préchauffage, cylindre 12 - panne du circuit"
P0683,Communication boîtier électronique des bougies de préchauffage/calculateur de gestion moteur/calculateur combiné moteur-transmission - panne
P0684,Communication boîtier électronique des bougies de préchauffage/calculateur de gestion moteur/calculateur combiné moteur-transmission - plage de mesure/performance
P0685,Relais d'alimentation électrique calculateur de gestion moteur/calculateur combiné transmission-gestion moteur - circuit ouvert
P0686,Relais d'alimentation électrique calculateur de gestion moteur/calculateur combiné transmission-gestion moteur - circuit trop bas
P0687,Relais de gestion du moteur - court-circuit sur la masse
P0688,Relais de gestion du moteur - court-circuit sur l'alimentation
P0689,Relais d'alimentation électrique calculateur de gestion moteur/calculateur combiné transmission-gestion moteur - circuit de sondage trop faible
P0690,Relais d'alimentation électrique calculateur de gestion moteur/calculateur combiné transmission-gestion moteur - circuit de sondage trop fort
P0691,Motoventilateur de refroidissement 1 - circuit trop bas
P0692,Motoventilateur de refroidissement 1 - circuit trop haut
P0693,Motoventilateur de refroidissement 2 - circuit trop bas
P0694,Motoventilateur de refroidissement 2 - circuit trop haut
P0695,Motoventilateur de refroidissement 3 - circuit trop bas
P0696,Motoventilateur de refroidissement 3 - circuit trop haut
P0697,Tension de référence du capteur C - circuit ouvert
P0698,Tension de référence du capteur C - circuit trop bas
P0699,Tension de référence du capteur C - circuit trop haut
P0700,Commande de la transmission - panne
P0701,Commande de la transmission - problème de performance/de limites
P0702,Commande de la transmission - électrique
P0703,Convertisseur de couple/contacteur de freinage B - panne du circuit
P0704,Contacteur de position de la pédale d'embrayage - panne du circuit
P0705,"Contacteur/capteur de position du levier de vitesse, signal d'entrée PIRMIDL - panne du circuit"
P0706,Contacteur/capteur de position du levier de vitesse - problème de performance/de limites
P0707,Contacteur/capteur de position du levier de vitesse - valeur d'entrée trop basse
P0708,Contacteur/capteur de position du levier de vitesse - valeur d'entrée trop haute
P0709,Contacteur/capteur de position du levier de vitesse - circuit intermittent
P0710,Sonde de température d'huile de transmission - panne du circuit
P0711,Sonde de température d'huile de transmission - problème de performance/de limites
P0712,Sonde de température d'huile de transmission - valeur d'entrée trop basse
P0713,Sonde de température d'huile de transmission - valeur d'entrée trop haute
P0714,Sonde de température d'huile de transmission - circuit intermittent
P0715,Capteur de vitesse d'arbre de turbine - panne du circuit
P0716,Capteur de vitesse d'arbre de turbine - problème de performance/de limites
P0717,Capteur de vitesse d'arbre de turbine - aucun signal
P0718,Capteur de vitesse d'arbre de turbine - circuit intermittent
P0719,Convertisseur de couple/contacteur de freinage B - circuit trop bas
P0720,Capteur de vitesse du véhicule - panne du circuit
P0721,Capteur de vitesse du véhicule - problème de performance/de limites
P0722,Capteur de vitesse du véhicule - aucun signal
P0723,Capteur de vitesse du véhicule - circuit intermittent
P0724,Convertisseur de couple/contacteur de freinage B - circuit trop haut
P0725,Entrée du régime moteur - panne du circuit
P0726,Entrée du régime moteur - problème de performance/de limites
P0727,Entrée du régime moteur - aucun signal
P0728,Entrée du régime moteur - circuit intermittent
P0729,Vitesse 6 - rapport incorrect
P0730,Rapport de démultiplication de la vitesse incorrect
P0731,Vitesse 1 - ratio incorrect
P0732,Vitesse 2 - ratio incorrect
P0733,Vitesse 3 - ratio incorrect
P0734,Vitesse 4 - ratio incorrect
P0735,Vitesse 5 - ratio incorrect
P0736,Marche arrière - rapport incorrect
P0737,Régime moteur calculateur de transmission - circuit de sortie
P0738,Régime moteur calculateur de transmission - circuit de sortie faible
P0739,Référence de temps à haute résolution signal B - aucun pulse
P0740,Électrovanne du convertisseur de couple - panne du circuit
P0741,Électrovanne du convertisseur de couple - performance ou blocage
P0742,Électrovanne du convertisseur de couple - blocage
P0743,Électrovanne du convertisseur de couple - électrique
P0744,Électrovanne du convertisseur de couple - circuit intermittent
P0745,Électrovanne du convertisseur de couple - panne du circuit
P0746,Électrovanne du convertisseur de couple - performance ou blocage
P0747,Électrovanne du convertisseur de couple - blocage
P0748,Électrovanne du convertisseur de couple - électrique
P0749,Électrovanne du convertisseur de couple - circuit intermittent
P0750,Électrovanne de changement de vitesse A - panne du circuit
P0751,Électrovanne de changement de vitesse A - performance ou blocage
P0752,Électrovanne de changement de vitesse A - blocage
P0753,Électrovanne de changement de vitesse A - électrique
P0754,Électrovanne de changement de vitesse A - circuit intermittent
P0755,Électrovanne de changement de vitesse B - panne du circuit
P0756,Électrovanne de changement de vitesse B - performance ou blocage
P0757,Électrovanne de changement de vitesse B - blocage
P0758,Électrovanne de changement de vitesse B - électrique
P0759,Électrovanne de changement de vitesse B - circuit intermittent
P0760,Électrovanne de changement de vitesse C - panne du circuit
P0761,Électrovanne de changement de vitesse C - performance ou blocage
P0762,Électrovanne de changement de vitesse C - blocage
P0763,Électrovanne de changement de vitesse C - électrique
P0764,Électrovanne de changement de vitesse C - circuit intermittent
P0765,Électrovanne de changement de vitesse D - panne du circuit
P0766,Électrovanne de changement de vitesse D - performance ou blocage
P0767,Électrovanne de changement de vitesse D - blocage
P0768,Électrovanne de changement de vitesse D - électrique
P0769,Électrovanne de changement de vitesse D - circuit intermittent
P0770,Électrovanne de changement de vitesse E - panne du circuit
P0771,Électrovanne de changement de vitesse E - performance ou blocage
P0772,Électrovanne de changement de vitesse E - blocage
P0773,Électrovanne de changement de vitesse E - électrique
P0774,Électrovanne de changement de vitesse E - circuit intermittent
P0775,Électrovanne de commande de pression B - panne
P0776,Électrovanne de commande de pression B - performance ou blocage
P0777,Électrovanne de commande de pression B - blocage
P0778,Électrovanne de commande de pression B - problème électrique
P0779,Électrovanne de commande de pression B - circuit intermittent
P0780,Sélection de la vitesse - problème de changement de vitesse
P0781,"Sélection de la vitesse, 1-2 - problème de changement de vitesse"
P0782,"Sélection de la vitesse, 2-3 - problème de changement de vitesse"
P0783,"Sélection de la vitesse, 3-4 - problème de changement de vitesse"
P0784,"Sélection de la vitesse, 4-5 - problème de changement de vitesse"
P0785,Électrovanne de changement de vitesse A - panne du circuit
P0786,Électrovanne de changement de vitesse A - problème de performance/de limites
P0787,Électrovanne de changement de vitesse A - basse
P0788,Électrovanne de changement de vitesse A - haute
P0789,Électrovanne de changement de vitesse A - intermittent
P0790,Commutateur sélection de mode de transmission - panne du circuit
P0791,Capteur de vitesse de l'arbre intermédiaire de transmission - panne du cicuit
P0792,Capteur de vitesse de l'arbre intermédiaire de transmission - problème de mesure/performance
P0793,Capteur de vitesse de l'arbre intermédiaire de transmission - aucun signal
P0794,Capteur de vitesse de l'arbre intermédiaire de transmission - panne intermittente du circuit
P0795,Électrovanne de pression d'huile de transmission C - panne du circuit
P0796,Électrovanne de pression d'huile de transmission C - performance ou blocage
P0797,Électrovanne de pression d'huile de transmission C - blocage
P0798,Électrovanne de pression d'huile de transmission C - problème électrique
P0799,Électrovanne de pression d'huile de transmission C - panne intermittente du circuit
P0800,"Système de commande de la boîte de transfert, commande de lampe témoin d'affichage des défauts - panne"
P0801,Circuit de blocage de marche arrière - panne
P0802,"Commande de la transmission, commande de lampe témoin d'affichage des défauts - circuit ouvert"
P0803,Électrovanne de montée des vitesse 1-4 (saut de vitesses) - panne du circuit
P0804,Lampe témoin de montée des vitesses 1-4 (saut de vitesses) - panne de circuit
P0805,Capteur de la position de la pédale d'embrayage - panne du circuit
P0806,Capteur de la position de la pédale d'embrayage - problème de mesure/performance
P0807,Capteur de la position de la pédale d'embrayage - valeur d'entrée trop basse
P0808,Capteur de la position de la pédale d'embrayage - valeur d'entrée trop élevée
P0809,Capteur de la position de la pédale d'embrayage - panne intermittente du circuit
P0810,Erreur de commande de position de la pédale d'embrayage
P0811,Patinage excessif de l'embrayage
P0812,Marche arrière - panne du circuit d'entrée
P0813,Marche arrière - panne du circuit de sortie
P0814,Affichage de position du levier de vitesses - panne du circuit
P0815,Contacteur de montée des vitesses - panne du circuit
P0816,Contacteur de descente des vitesses - panne du circuit
P0817,Circuit de mise hors service du démarreur - panne
P0818,Interrupteur de fil d'attaque - panne du circuit
P0819,Corrélation entre le contacteur montée/descente des vitesses et la position du levier de vitesses
P0820,Capteur de position X-Y du levier de vitesses - panne du circuit
P0821,Capteur de position X du levier de vitesses - panne du circuit
P0822,Capteur de position Y du levier de vitesses - panne du circuit
P0823,Capteur de position X du levier de vitesses - circuit intermittent
P0824,Capteur de position Y du levier de vitesses - circuit intermittent
P0825,Commutateur à pression et tirage du levier de vitesses - panne du circuit
P0826,Contacteur montée/descente des vitesses - circuit d'entrée
P0827,Contacteur montée/descente des vitesses - circuit d'entrée trop faible
P0828,Contacteur montée/descente des vitesses - circuit d'entrée trop fort
P0829,Montée des vitesses 5-6
P0830,Contacteur de position de la pédale d'embrayage A - panne du circuit
P0831,Contacteur de position de la pédale d'embrayage A - valeur d'entrée trop basse
P0832,Contacteur de position de la pédale d'embrayage A - valeur d'entrée trop haute
P0833,Contacteur de position de la pédale d'embrayage B - panne du circuit
P0834,Contacteur de position de la pédale d'embrayage B - valeur d'entrée trop basse
P0835,Contacteur de position de la pédale d'embrayage B - valeur d'entrée trop haute
P0836,Contacteur 4 roues motrices - panne du circuit
P0837,Contacteur 4 roues motrices - problème de mesure/performance
P0838,Contacteur 4 roues motrices - valeur d'entrée trop basse
P0839,Contacteur 4 roues motrices - valeur d'entrée trop élevée
P0840,Pressostat/capteur de pression d'huile de transmission A - panne du circuit
P0841,Pressostat/capteur de pression d'huile de transmission A - problème de mesure/performance
P0842,Pressostat/capteur de pression d'huile de transmission A - valeur d'entrée trop basse
P0843,Pressostat/capteur de pression d'huile de transmission A - valeur d'entrée trop haute
P0844,Pressostat/capteur de pression d'huile de transmission A - panne intermittente du circuit
P0845,Pressostat/capteur de pression d'huile de transmission B - panne du circuit
P0846,Pressostat/capteur de pression d'huile de transmission B - problème de mesure/performance
P0847,Pressostat/capteur de pression d'huile de transmission B - valeur d'entrée trop basse
P0848,Pressostat/capteur de pression d'huile de transmission B - valeur d'entrée trop haute
P0849,Pressostat/capteur de pression d'huile de transmission B - panne intermittente du circuit
P0850,Contacteur de position Neutre/parking - panne du circuit d'entrée
P0851,Contacteur de position Neutre/Parking - circuit d'entrée trop faible
P0852,Contacteur de position Neutre/Parking - circuit d'entrée trop fort
P0853,Contacteur de position Drive - panne du circuit d'entrée
P0854,Contacteur de position Drive - circuit d'entrée trop faible
P0855,Contacteur de position Drive - circuit d'entrée trop fort
P0856,Signal d'entrée anti-patinage - panne
P0857,Signal d'entrée anti-patinage - prolème de mesure/performance
P0858,Signal d'entrée anti-patinage - faible
P0859,Signal d'entrée anti-patinage - haut
P0860,Circuit de communication du boîtier électronique de changement de vitesses - panne
P0861,Circuit de communication du boîtier électronique de changement de vitesses - valeur d'entrée trop basse
P0862,Circuit de communication du boîtier électronique de changement de vitesses - valeur d'entrée trop haute
P0863,Circuit de communication du calculateur de transmission - panne
P0864,Circuit de communication du calculateur de transmission - problème de mesure/performance
P0865,Circuit de communication du calculateur de transmission - valeur d'entrée trop basse
P0866,Circuit de communication du calculateur de transmission - valeur d'entrée trop haute
P0867,Capteur de pression d'huile de transmission
P0868,Capteur de pression d'huile de transmission - faible
P0869,Capteur de pression d'huile de transmission - haut
P0870,Capteur de pression d'huile de transmission C - panne du circuit
P0871,Capteur de pression d'huile de transmission C - plage de mesure/performance
P0872,Capteur de pression d'huile de transmission C - circuit trop bas
P0873,Capteur de pression d'huile de transmission C - circuit trop haut
P0874,Capteur de pression d'huile de transmission C - panne intermittente du circuit
P0875,Capteur de pression d'huile de transmission D - panne du circuit
P0876,Capteur de pression d'huile de transmission D - plage de mesure/performance
P0877,Capteur de pression d'huile de transmission D - circuit trop bas
P0878,Capteur de pression d'huile de transmission D - circuit trop haut
P0879,Capteur de pression d'huile de transmission D - panne intermittente du circuit
P0880,Calculateur de transmission - panne du signal d'entrée de l'amimentation électrique
P0881,Calculateur de transmission - plage de mesure/performance du signal d'entrée de l'amimentation électrique
P0882,Calculateur de transmission - signal d'entrée de l'amimentation électrique trop faible
P0883,Calculateur de transmission - signal d'entrée de l'amimentation électrique trop fort
P0884,Calculateur de transmission - panne intermittente du signal d'entrée de l'amimentation électrique
P0885,Relais d'alimentation électrique du calculateur de transmission - circuit de commande ouvert
P0886,Relais d'alimentation électrique du calculateur de transmission - circuit de commande trop faible
P0887,Relais d'alimentation électrique du calculateur de transmission - circuit de commande trop fort
P0888,Relais d'alimentation électrique du calculateur de transmission - panne du circuit de sondage
P0889,Relais d'alimentation électrique du calculateur de transmission - plage de mesure/performance du circuit de sondage
P0890,Relais d'alimentation électrique du calculateur de transmission - circuit de sondage trop faible
P0891,Relais d'alimentation électrique du calculateur de transmission - circuit de sondage trop fort
P0892,Relais d'alimentation électrique du calculateur de transmission - panne intermittente du circuit de sondage
P0893,Plusieurs vitesses engagées
P0894,Patinage d'un composant de la transmission
P0895,Durée de changement de vitesse trop courte
P0896,Durée de changement de vitesse trop longue
P0897,Huile de transmission dégradée
P0898,Commande de transmission - commande de lampe témoin d'affichage des défauts - circuit trop bas
P0899,Commande de transmission - commande de lampe témoin d'affichage des défauts - circuit trop haut
P0900,Capteur d'embrayage - circuit ouvert
P0901,Capteur d'embrayage - plage de msure/performance du circuit
P0902,Capteur d'embrayage - circuit trop bas
P0903,Capteur d'embrayage - circuit trop haut
P0904,Circuit de sélection de coulisse de transmission - panne
P0905,Circuit de sélection de coulisse de transmission - plage de mesure/performance
P0906,Circuit de sélection de coulisse de transmission - basse
P0907,Circuit de sélection de coulisse de transmission - haute
P0908,Circuit de sélection de coulisse de transmission - panne intermittente du circuit
P0909,Erreur de commande de sélection de coulisse de transmission
P0910,Capteur de sélection de coulisse de transmission - circuit ouvert
P0911,Capteur de sélection de coulisse de transmission - plage de mesure/performance
P0912,Capteur de sélection de coulisse de transmission - circuit trop bas
P0913,Capteur de sélection de coulisse de transmission - circuit trop haut
P0914,Circuit de position de changement de vitesses - panne
P0915,Circuit de position de changement de vitesses - plage de mesure/performance
